cluster,CLM_NBR,CLM_LOSS_DESC
2,19-00249003,Sewer cap blew off and the basement filled with water
3,19-00649775,CORONAVIRUS - Loss of business due to forced closure.
2,19-00631113,Employees came in on Sunday and water had overflowed from the pedicure stations flooding the floor. They tried to put the stations up on stands and put fans up. The bottoms of the stations are cracked after drying out.
4,19-00147764,Power surge caused burning and melting on Motsens boards of 4 printers. See attached email communication.
2,19-00339138,address is 435 Dorothy Day Place / kitchen fire due to pan left  on stove/ sprinkler went off and water damage to floors below (fire started on 5th floor  )
2,19-00104085,Insured is unsure what is causing water damage in basement and build up of mold.
2,19-00684375,Wind blew sign down
0,19-00342129,Insd_s employee_s watch was stolen while she was on a business trip.
1,19-00364792,DRIVER RAN INTO SIGN OF COMPANY AND KNOCKED IT DOWN DURING BLIZZARD
0,19-00028441,Unknown
0,19-00224148,"Computer of insured stolen. Employee file contains social securities and other employee information. Computer contains employee file, computer has a password. San francisco pd report 186120493"
4,19-00659747,Hit by lightning and hit the circuit board was fryed
3,19-00664021,Business Interruption-COVID-19
2,19-00431799,Structure fire - unknown cause and details of loss at this time
4,19-00252295,Insured discovered today that the beer currently being aged at their warehouse facility has spoiled and is rendered unusable. This spoilage is a result of barrel failure. The attached spreadsheet indicates the initial costs and potential sales and lost profits as a result of this spoilage.
0,19-00914589,Insured hosting company was the victim of a ransomware attack. Insured utilized Cloudstar (Hosting company) for hosting production system and email. This has also affected the primary servers and their backups.
2,19-00831382,Water Pipe burst in ceiling causing extensive water damages. Please contact Kelly 815-861-3782
0,19-00349279,Someone tried to break in to the store; didn_t succeed but damaged the store in trying: $2500. damage
0,85-00382011,"Theft of tools - generator, skill saw, battery operated saw, hammer drill, concrete saw"
1,19-00876475,3rd party driver drove rental vehicle into the side of insured building.
2,19-00675859,"Insured noticed water in the bottom of electrical closets. After bringing in an electrician, it was determined that a pipe leading from the boiler/hot water tank cracked and was leaking out water everywhere."
2,15-00782561,Fire at location 2 doors down from insured location. Possible some damage to contents etc.
2,85-00388626,Water damage appeared on the ceiling of the unit on the second floor. The water appeared to be from the hallway bathroom shower of the unit on the third floor. The plumber that came by said he could not determine the source of the leak definitively without breaking into the ceiling of the second floor unit.
2,85-00244684,PIPE LEAKING FROM THE ROOF CAUSING DAMAGE TO CEILING TILES AND CARPET.
